,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-02,3.6,3.85,3.39,3.83,3.83,3208400
1,2020-03-03,3.88,3.89,3.5,3.63,3.63,4282500
2,2020-03-04,3.71,3.83,3.46,3.77,3.77,4257600
3,2020-03-05,3.7,3.99,3.59,3.96,3.96,3599400
4,2020-03-06,3.84,4.07,3.76,3.92,3.92,2096800
5,2020-03-09,3.59,3.97,3.5,3.7,3.7,2732000
6,2020-03-10,3.94,4.26,3.8,4.23,4.23,4863200
7,2020-03-11,4.14,4.25,4.0,4.14,4.14,4414100
8,2020-03-12,3.7,4.04,3.48,3.98,3.98,5123400
9,2020-03-13,4.13,4.65,3.85,4.59,4.59,5787200
10,2020-03-16,3.93,4.57,3.9,4.37,4.37,4866700
11,2020-03-17,4.4,4.65,4.11,4.23,4.23,3562200
12,2020-03-18,4.1,4.25,3.5,3.77,3.77,3651700
13,2020-03-19,3.71,4.2,3.55,4.19,4.19,5039500
14,2020-03-20,4.08,4.08,3.65,3.76,3.76,7722200
15,2020-03-23,3.58,3.86,3.5,3.81,3.81,6009800
16,2020-03-24,3.95,4.21,3.89,4.16,4.16,6805600
17,2020-03-25,4.15,4.49,4.04,4.17,4.17,3592100
18,2020-03-26,4.24,4.71,4.24,4.41,4.41,6185700
19,2020-03-27,4.94,5.09,4.15,4.22,4.22,7024800
20,2020-03-30,4.22,4.27,3.65,3.65,3.65,3350600
21,2020-03-31,3.63,3.8,3.5,3.5,3.5,2300900
22,2020-04-01,3.45,3.49,3.12,3.25,3.25,4568700
23,2020-04-02,3.26,3.35,2.85,2.85,2.85,4064300
24,2020-04-03,2.85,2.94,2.57,2.8,2.8,3830400
25,2020-04-06,2.86,3.2,2.83,3.09,3.09,3340500
26,2020-04-07,3.39,3.44,3.1,3.27,3.27,2836900
27,2020-04-08,3.23,3.67,3.2,3.41,3.41,2884500
28,2020-04-09,3.6,4.25,3.49,3.89,3.89,5908600
29,2020-04-13,4.25,4.76,4.16,4.74,4.74,6844500
30,2020-04-14,5.21,6.47,5.14,5.95,5.95,13506600
31,2020-04-15,5.66,5.67,4.9,5.27,5.27,7499900
32,2020-04-16,5.12,5.44,4.88,5.03,5.03,3371900
33,2020-04-17,5.22,5.28,4.43,4.88,4.88,5653200
34,2020-04-20,4.85,5.9,4.78,5.61,5.61,6085000
35,2020-04-21,5.23,5.3,4.76,4.78,4.78,4142100
36,2020-04-22,5.14,5.17,4.83,4.89,4.89,2677800
37,2020-04-23,4.75,4.89,4.58,4.7,4.7,2265900
38,2020-04-24,4.78,4.85,4.66,4.77,4.77,2236200
39,2020-04-27,4.85,5.99,4.81,5.82,5.82,7275100
40,2020-04-28,5.92,6.04,5.06,5.64,5.64,5200200
41,2020-04-29,5.83,6.09,5.45,6.04,6.04,3369600
42,2020-04-30,5.87,5.98,5.64,5.73,5.73,2173300
43,2020-05-01,5.65,6.18,5.45,6.05,6.05,4005600
44,2020-05-04,5.84,5.93,5.4,5.48,5.48,4068100
45,2020-05-05,5.55,5.63,5.35,5.39,5.39,2105900
46,2020-05-06,5.4,5.4,4.9,4.93,4.93,3369600
47,2020-05-07,4.83,4.93,4.65,4.87,4.87,2500800
48,2020-05-08,4.88,5.19,4.82,4.98,4.98,2353700
49,2020-05-11,4.92,4.96,4.75,4.76,4.76,1699200
50,2020-05-12,4.78,4.92,4.46,4.54,4.54,2639200
51,2020-05-13,4.54,4.54,4.07,4.21,4.21,2882900
52,2020-05-14,4.15,4.19,3.96,4.13,4.13,2004900
53,2020-05-15,4.05,4.45,4.04,4.22,4.22,1940600
54,2020-05-18,4.4,4.63,4.36,4.58,4.58,2371700
55,2020-05-19,4.58,4.75,4.37,4.44,4.44,1840700
56,2020-05-20,4.5,4.69,4.34,4.43,4.43,2543600
57,2020-05-21,4.45,4.65,4.4,4.44,4.44,1971900
58,2020-05-22,4.46,4.49,4.13,4.18,4.18,2379900
59,2020-05-26,4.34,4.61,4.33,4.42,4.42,3545700
60,2020-05-27,4.57,4.71,4.36,4.69,4.69,3146600
61,2020-05-28,4.75,4.76,4.3,4.33,4.33,2183900
62,2020-05-29,4.33,4.42,4.05,4.06,4.06,3973500
63,2020-06-01,4.12,4.36,4.02,4.13,4.13,2611600
64,2020-06-02,4.27,4.31,4.06,4.18,4.18,2369400
65,2020-06-03,4.24,4.52,4.2,4.44,4.44,3037400
66,2020-06-04,4.44,4.72,4.37,4.47,4.47,3514300
67,2020-06-05,4.29,4.41,4.09,4.14,4.14,6274400
68,2020-06-08,4.28,5.14,4.27,5.01,5.01,10133700
69,2020-06-09,5.0,5.0,4.55,4.96,4.96,8073400
70,2020-06-10,4.78,5.53,4.68,5.07,5.07,10606400
71,2020-06-11,4.64,4.9,4.18,4.37,4.37,6236000
72,2020-06-12,4.6,4.78,4.39,4.72,4.72,4378200
73,2020-06-15,4.5,4.77,4.42,4.69,4.69,3909000
74,2020-06-16,4.95,4.95,4.51,4.64,4.64,3121300
75,2020-06-17,4.54,4.83,4.53,4.76,4.76,3593500
76,2020-06-18,4.67,4.95,4.65,4.95,4.95,3423800
77,2020-06-19,4.95,5.08,4.69,4.88,4.88,7366600
78,2020-06-22,4.79,4.95,4.72,4.87,4.87,3178900
79,2020-06-23,4.95,4.99,4.8,4.83,4.83,3205400
80,2020-06-24,4.83,4.84,4.38,4.41,4.41,2976200
81,2020-06-25,4.33,4.54,4.3,4.46,4.46,2450800
82,2020-06-26,4.48,4.5,4.27,4.35,4.35,3801200
83,2020-06-29,4.35,4.52,4.3,4.38,4.38,2131200
84,2020-06-30,4.33,4.51,4.2,4.34,4.34,3889000
85,2020-07-01,4.31,4.5,4.31,4.44,4.44,2303700
86,2020-07-02,4.49,4.51,4.29,4.29,4.29,1887600
87,2020-07-06,4.31,4.34,4.19,4.24,4.24,2140900
88,2020-07-07,4.2,4.25,4.06,4.09,4.09,2456600
89,2020-07-08,4.1,4.29,4.03,4.26,4.26,2052800
90,2020-07-09,4.27,4.32,4.13,4.21,4.21,1992600
91,2020-07-10,4.2,4.38,4.18,4.34,4.34,1410800
92,2020-07-13,4.35,4.55,4.26,4.26,4.26,4216200
93,2020-07-14,4.22,4.31,4.07,4.08,4.08,2261600
94,2020-07-15,4.13,4.29,4.13,4.19,4.19,1474100
95,2020-07-16,4.19,4.2,4.09,4.17,4.17,1330100
96,2020-07-17,4.16,4.23,3.94,3.96,3.96,3065900
97,2020-07-20,3.95,4.06,3.77,3.85,3.85,3401100
98,2020-07-21,3.9,4.09,3.88,4.01,4.01,3341000
99,2020-07-22,4.02,4.12,3.92,4.11,4.11,2523500
100,2020-07-23,4.09,4.31,4.06,4.11,4.11,3237200
101,2020-07-24,4.06,4.23,4.01,4.03,4.03,2215900
102,2020-07-27,4.02,4.12,3.95,4.01,4.01,2472700
103,2020-07-28,3.96,4.05,3.92,3.94,3.94,4555400
104,2020-07-29,3.94,4.18,3.92,4.06,4.06,2879600
105,2020-07-30,4.0,4.23,3.97,4.1,4.1,2398500
106,2020-07-31,4.06,4.16,3.99,4.01,4.01,1879400
107,2020-08-03,4.03,4.25,4.0,4.15,4.15,2517600
108,2020-08-04,4.13,4.74,4.13,4.43,4.43,10361400
109,2020-08-05,4.5,4.76,4.25,4.63,4.63,4925700
110,2020-08-06,4.6,4.66,4.38,4.43,4.43,1901200
111,2020-08-07,4.39,4.4,4.06,4.16,4.16,3341100
112,2020-08-10,4.2,4.57,4.18,4.33,4.33,4561800
113,2020-08-11,4.43,4.57,4.34,4.35,4.35,3138800
114,2020-08-12,4.4,4.63,4.36,4.52,4.52,3057600
115,2020-08-13,4.52,4.71,4.5,4.64,4.64,2128300
116,2020-08-14,4.6,4.83,4.55,4.75,4.75,3474400
117,2020-08-17,4.78,4.78,4.56,4.63,4.63,2371000
118,2020-08-18,4.61,4.87,4.43,4.81,4.81,3834400
119,2020-08-19,4.8,4.84,4.64,4.72,4.72,2612600
120,2020-08-20,4.62,4.68,4.51,4.61,4.61,2441200
121,2020-08-21,4.6,5.6,4.6,5.03,5.03,10642600
122,2020-08-24,5.1,5.13,4.56,4.87,4.87,4585400
123,2020-08-25,4.88,5.25,4.88,4.98,4.98,2998700
124,2020-08-26,4.97,5.22,4.92,5.11,5.11,2779700
125,2020-08-27,5.11,5.38,5.02,5.25,5.25,3384400
126,2020-08-28,5.3,5.57,5.22,5.39,5.39,4236900
127,2020-08-31,5.77,7.15,5.69,6.68,6.68,37976000
128,2020-09-01,7.3,7.82,6.77,7.65,7.65,23211000
129,2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100
130,2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500
131,2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000
132,2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600
133,2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100
134,2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300
135,2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200
136,2020-09-14,6.8,7.0,6.43,6.91,6.91,10119000
137,2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500
138,2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300
139,2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700
140,2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500
141,2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800
142,2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500
143,2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200
144,2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800
145,2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200
146,2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300
147,2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600
148,2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000
149,2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100
150,2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500
151,2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
152,2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400
153,2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
154,2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
155,2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800
156,2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700
157,2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
158,2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800
159,2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800
160,2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600
161,2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100
162,2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
163,2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900
164,2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200
165,2020-10-23,15.05,15.38,14.55,15.0,15.0,6507300
166,2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
167,2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
168,2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
169,2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
170,2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
171,2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000
172,2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
173,2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
174,2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
175,2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
176,2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
177,2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000
178,2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600
179,2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
180,2020-11-13,11.36,11.55,11.0,11.01,11.01,3535900
181,2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
182,2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
183,2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200
184,2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600
185,2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
186,2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100
187,2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200
188,2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100
189,2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
190,2020-11-30,18.17,19.42,16.559998999999998,16.559998999999998,16.559998999999998,31983500
191,2020-12-01,17.110001,17.4,15.76,15.8,15.8,12666000
192,2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400
193,2020-12-03,16.48,16.639999,15.87,16.120001000000002,16.120001000000002,6295000
194,2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700
195,2020-12-07,17.0,17.5,16.219998999999998,16.35,16.35,7386300
196,2020-12-08,16.370001000000002,17.209999,15.93,16.940001000000002,16.940001000000002,16120200
197,2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900
198,2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900
199,2020-12-11,13.91,14.0,13.02,13.31,13.31,7496900
200,2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100
201,2020-12-15,12.78,14.02,12.48,13.85,13.85,8192900
202,2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100
203,2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900
204,2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800
205,2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100
206,2020-12-22,16.219998999999998,20.040001,16.15,19.459999,19.459999,30652700
207,2020-12-23,20.17,22.35,19.129998999999998,20.57,20.57,25830300
208,2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200
209,2020-12-28,21.309998999999998,21.969998999999998,20.35,20.99,20.99,8965900
210,2020-12-29,20.82,21.07,18.559998999999998,19.379998999999998,19.379998999999998,9241400
211,2020-12-30,19.379998999999998,20.0,18.85,19.26,19.26,5934400
212,2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700
213,2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500
214,2021-01-05,17.35,18.08,17.23,17.370001000000002,17.370001000000002,4961500
215,2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200
216,2021-01-07,18.469998999999998,19.450001,18.02,18.08,18.08,6129300
217,2021-01-08,18.18,18.299999,17.08,17.690001000000002,17.690001000000002,6482000
218,2021-01-11,19.41,20.65,19.01,19.940001000000002,19.940001000000002,14927600
219,2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700
220,2021-01-13,20.42,38.650002,20.030001000000002,31.4,31.4,144501700
221,2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400
222,2021-01-15,38.490002000000004,40.75,34.009997999999996,35.5,35.5,46866400
223,2021-01-19,41.549999,45.52,36.639998999999996,39.360001000000004,39.360001000000004,74721900
224,2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
225,2021-01-21,39.23,44.75,37.0,43.029999,43.029999,57079800
226,2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900
227,2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
228,2021-01-26,88.559998,150.0,80.199997,147.979996,147.979996,178588000
229,2021-01-27,354.829987,380.0,249.0,347.51001,347.51001,93396700
230,2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800
231,2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200
232,2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200
233,2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100
234,2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500
235,2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300
236,2021-02-05,54.040001000000004,95.0,51.09,63.77,63.77,80886300
237,2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300
238,2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100
239,2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000
240,2021-02-11,50.009997999999996,55.32,48.220001,51.099998,51.099998,12997400
241,2021-02-12,50.75,55.240002000000004,48.049999,52.400002,52.400002,14498000
242,2021-02-16,52.66,53.5,49.040001000000004,49.509997999999996,49.509997999999996,8175000
243,2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800
244,2021-02-18,48.490002000000004,48.869999,40.650002,40.689999,40.689999,23990600
245,2021-02-19,41.279999,43.889998999999996,38.5,40.59,40.59,14828200
246,2021-02-22,46.689999,48.509997999999996,42.400002,46.0,46.0,19476000
247,2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200
248,2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
249,2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800
250,2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000
